week,region,signups,active_users,paid_subscriptions,revenue,support_tickets
2025-W01,North,120,410,24,2400,18
2025-W01,South,95,360,19,1900,15
2025-W02,north,130,430,27,2700,20
2025-W02,South,102,372,18,1800,17
2025-W03,East,88,300,14,1400,14
2025-W03,West,110,395,25,2500,19
2025-W04,East,92,315,16,1600,16
2025-W04,West,118,402,24,2400,35
2025-W05,North,140,455,31,3100,21
2025-W05,South,108,380,20,2000,
2025-W06,East,97,320,17,1700,15
2025-W06,West,123,418,26,2600,18
2025-W06,West,123,418,26,2600,18